слово;количесво в тексте
какого-нибудь;15
Плюшкина;15
вероятно;15
гость;15
слегка;14
дать;14
дороги;14
случае;14
стали;14
вопрос;14
обыкновенно;14
показался;14
другому;14
видел;14
ко;14
голове;14
степени;14
После;14
своем;14
окна;14
выражение;14
врешь;14
через;14
несмотря;14
двадцать;14
самому;14
взглянул;14
какое-то;14
нехорошо;14
ногами;14
сквозь;14
ехать;14
прокурор;14
также;14
часа;14
такую;14
чрезвычайно;14
нарочно;14
О;14
мертвых;14
вами;14
господин;14
двор;14
года;13
воздух;13
Эх;13
очи;13
"""Да";13
например;13
Еще;13
разные;13
нам;13
читатели;13
каким;13
Уже;13
мужиков;13
денег;13
тысяч;13
кого;13
Из;13
откуда;13
За;13
очутился;13
сама;13
принялся;13
каких;13
самый;13
направо;13
Они;13
столе;13
многих;13
Может;13
Коробочка;13
имя;13
ворота;13
кресла;13
речь;13
можешь;13
Порфирий;13
сторон;12
русский;12
голосом;12
часто;12
пошел;12
всему;12
иной;12
помещик;12
брички;12
никто;12
этих;12
пять;12
из-под;12
суд;12
выражению;12
всякие;12
вслед;12
решился;12
завтра;12
сел;12
иных;12
словами;12
никакой;12
экипаж;12
дурак;12
мысли;12
пол;12
сейчас;12
нежели;12
своими;12
разговор;12
палаты;12
всяких;12
мужики;12
отчасти;12
капитан;12
эдакой;12
вверх;12
ваше;12
положение;12
хочу;12
взял;12
гостя;12
вон;11
пока;11
любит;11
которыми;11
картуз;11
каком;11
слов;11
кое-что;11
правду;11
Кто;11
сердце;11
умел;11
мои;11
душа;11
зато;11
взгляд;11
из-за;11
Теперь;11
подлец;11
каждый;11
часть;11
получил;11
местах;11
Даже;11
столько;11
службу;11
Нужно;11
самое;11
первый;11
характер;11
оказалось;11
Однако;11
происходило;11
стены;11
где-то;11
скорее;11
всеми;11
ногу;11
нами;11
N;11
ночь;11
уши;11
кричал;11
сердца;11
деревни;11
спросить;11
глядел;11
внимание;11
видит;11
остановился;11
ГЛАВА;11
чаю;11
подать;11
понять;11
успел;11
писать;11
почувствовал;11
какого-то;11
видели;11
почтмейстер;11
подобное;11
которому;11
тотчас;11
Мы;11
губернии;11
длинный;11
Она;11
другая;11
столом;11
оба;11
словам;11
зять;11
одним;10
вниз;10
кнутом;10
Селифану;10
мало;10
скажет;10
знакомый;10
автор;10
какое-нибудь;10
мнения;10
ум;10
равно;10
читатель;10
вина;10
должны;10
туда;10
вывод;10
умер;10
землю;10
показал;10
кучер;10
мире;10
самой;10
Казалось;10
такими;10
чрез;10
какую;10
сорок;10
беспрестанно;10
вздор;10
пяти;10
могли;10
сюртуке;10
отца;10
нигде;10
духа;10
где-нибудь;10
странное;10
руке;10
угол;10
велел;10
часов;10
речи;10
дверей;10
коли;10
иметь;10
сегодня;10
приехал;10
боже;10
дня;10
слухи;10
рукой;10
полицеймейстер;10
заметно;10
обед;10
самых;10
разумеется;10
возьми;10
плохо;10
таков;10
другом;10
видом;10
письмо;10
вошел;10
показалось;10
мое;10
язык;10
платье;10
цвета;10
дядя;10
губы;10
ответ;9
ухо;9
сих;9
значит;9
остается;9
вдали;9
купцы;9
"""Эх";9
"""Не";9
громко;9
ловко;9
Чичиковым;9
имени;9
особенно;9
какая-нибудь;9
видеть;9
говорите;9
столу;9
никому;9
живет;9
совершить;9
глядеть;9
мысль;9
даром;9
поближе;9
зная;9
стану;9
никого;9
случилось;9
лично;9
толку;9
угодно;9
год;9
Ему;9
говоря;9
старался;9
купил;9
хорошего;9
около;9
спину;9
никаких;9
продал;9
глазах;9
вещь;9
глаз;9
улицы;9
взявши;9
едва;9
углу;9
подобно;9
будучи;9
случай;9
вокруг;9
деревня;9
внизу;9
шинель;9
самые;9
ясно;9
гостиницы;9
удовольствие;9
кому;9
духе;9
дочку;9
ей-богу;9
Эй;9
стояли;9
другу;9
нашли;9
"""Что";9
какая-то;9
принять;9
полицеймейстера;9
отозвался;9
Ивановича;9
случалось;9
губернатор;9
детей;9
головы;9
хорош;9
скажу;9
Послушай;9
обратившись;9
председателя;9
имеет;9
Собакевичу;9
мужика;9
ключница;9
повел;9
